Timestamp,BlinkRate,AvgEAR,StressLevel
2025-05-07 13:57:09,11.00,0.170,50
2025-05-07 13:58:09,81.00,0.247,40
2025-05-07 13:59:59,49.00,0.275,40
2025-05-07 14:00:59,26.00,0.217,40
2025-05-07 14:01:59,8.00,0.238,0
2025-05-07 14:02:59,2.00,0.277,20
2025-05-07 14:03:59,3.00,0.248,20
